"product_id","product_title","product_description","in_stock","price","slug","category_id"
1,"Product 1","Product description 1",45,142.36,"Product-1",4
2,"Product 2","Product description 2",14,59.98,"Product-2",4
3,"Product 3","Product description 3",36,333.84,"Product-3",6
4,"Product 4","Product description 4",16,333.62,"Product-4",20
5,"Product 5","Product description 5",38,197.92,"Product-5",15
6,"Product 6","Product description 6",50,131.22,"Product-6",9
7,"Product 7","Product description 7",2,387.2,"Product-7",6
8,"Product 8","Product description 8",2,337.9,"Product-8",11
9,"Product 9","Product description 9",42,257.44,"Product-9",4
10,"Product 10","Product description 10",38,282.72,"Product-10",16
11,"Product 11","Product description 11",31,216.4,"Product-11",17
12,"Product 12","Product description 12",35,186.76,"Product-12",6
13,"Product 13","Product description 13",1,290.78,"Product-13",4
14,"Product 14","Product description 14",2,216.06,"Product-14",1
15,"Product 15","Product description 15",8,104,"Product-15",17
16,"Product 16","Product description 16",0,64.06,"Product-16",5
17,"Product 17","Product description 17",50,55.32,"Product-17",10
18,"Product 18","Product description 18",38,242.24,"Product-18",7
19,"Product 19","Product description 19",49,272.68,"Product-19",8
20,"Product 20","Product description 20",41,323.96,"Product-20",11
21,"Product 21","Product description 21",34,390.1,"Product-21",4
22,"Product 22","Product description 22",8,162.46,"Product-22",4
23,"Product 23","Product description 23",48,116.36,"Product-23",13
24,"Product 24","Product description 24",5,166.04,"Product-24",6
25,"Product 25","Product description 25",24,226.92,"Product-25",18
26,"Product 26","Product description 26",49,130.04,"Product-26",10
27,"Product 27","Product description 27",11,41.7,"Product-27",18
28,"Product 28","Product description 28",13,394.34,"Product-28",5
29,"Product 29","Product description 29",5,48.76,"Product-29",6
30,"Product 30","Product description 30",25,338.08,"Product-30",18
31,"Product 31","Product description 31",12,332.38,"Product-31",1
32,"Product 32","Product description 32",19,279.7,"Product-32",15
33,"Product 33","Product description 33",30,39.62,"Product-33",8
34,"Product 34","Product description 34",10,49.66,"Product-34",10
35,"Product 35","Product description 35",42,322.9,"Product-35",14
36,"Product 36","Product description 36",48,211.9,"Product-36",20
37,"Product 37","Product description 37",38,111.86,"Product-37",1
38,"Product 38","Product description 38",30,222.2,"Product-38",12
39,"Product 39","Product description 39",24,59.92,"Product-39",1
40,"Product 40","Product description 40",7,242.5,"Product-40",9
41,"Product 41","Product description 41",3,182.86,"Product-41",9
42,"Product 42","Product description 42",37,237.1,"Product-42",10
43,"Product 43","Product description 43",49,37.54,"Product-43",12
44,"Product 44","Product description 44",8,18.94,"Product-44",5
45,"Product 45","Product description 45",32,165.4,"Product-45",16
46,"Product 46","Product description 46",23,382.92,"Product-46",13
47,"Product 47","Product description 47",32,206.06,"Product-47",13
48,"Product 48","Product description 48",42,246.26,"Product-48",1
49,"Product 49","Product description 49",6,91.88,"Product-49",4
50,"Product 50","Product description 50",49,8.32,"Product-50",11
51,"Product 51","Product description 51",35,133.02,"Product-51",13
52,"Product 52","Product description 52",11,48.32,"Product-52",15
53,"Product 53","Product description 53",10,197.42,"Product-53",6
54,"Product 54","Product description 54",44,118.38,"Product-54",6
55,"Product 55","Product description 55",24,278.16,"Product-55",14
56,"Product 56","Product description 56",3,5.88,"Product-56",18
57,"Product 57","Product description 57",39,266.88,"Product-57",18
58,"Product 58","Product description 58",41,270.6,"Product-58",16
59,"Product 59","Product description 59",42,57.16,"Product-59",16
60,"Product 60","Product description 60",47,279.2,"Product-60",16
61,"Product 61","Product description 61",27,307.84,"Product-61",16
62,"Product 62","Product description 62",48,216.02,"Product-62",17
63,"Product 63","Product description 63",41,35.28,"Product-63",15
64,"Product 64","Product description 64",42,112.74,"Product-64",15
65,"Product 65","Product description 65",31,387.46,"Product-65",15
66,"Product 66","Product description 66",26,268.08,"Product-66",16
67,"Product 67","Product description 67",1,48.92,"Product-67",17
68,"Product 68","Product description 68",26,172.3,"Product-68",3
69,"Product 69","Product description 69",27,395.48,"Product-69",8
70,"Product 70","Product description 70",14,203.86,"Product-70",1
71,"Product 71","Product description 71",13,139.78,"Product-71",16
72,"Product 72","Product description 72",45,164.5,"Product-72",16
73,"Product 73","Product description 73",6,248.38,"Product-73",3
74,"Product 74","Product description 74",14,140.24,"Product-74",3
75,"Product 75","Product description 75",41,34.88,"Product-75",19
76,"Product 76","Product description 76",12,327.14,"Product-76",10
77,"Product 77","Product description 77",28,377.26,"Product-77",3
78,"Product 78","Product description 78",20,155.76,"Product-78",16
79,"Product 79","Product description 79",50,121.68,"Product-79",10
80,"Product 80","Product description 80",41,25.7,"Product-80",1
81,"Product 81","Product description 81",31,397.34,"Product-81",17
82,"Product 82","Product description 82",9,58.58,"Product-82",13
83,"Product 83","Product description 83",46,4.4,"Product-83",15
84,"Product 84","Product description 84",22,295.64,"Product-84",13
85,"Product 85","Product description 85",15,88.02,"Product-85",12
86,"Product 86","Product description 86",2,47.38,"Product-86",5
87,"Product 87","Product description 87",26,344.04,"Product-87",10
88,"Product 88","Product description 88",3,270.46,"Product-88",19
89,"Product 89","Product description 89",46,54.02,"Product-89",2
90,"Product 90","Product description 90",37,394.66,"Product-90",8
91,"Product 91","Product description 91",16,303.66,"Product-91",4
92,"Product 92","Product description 92",12,140.86,"Product-92",7
93,"Product 93","Product description 93",46,86.78,"Product-93",7
94,"Product 94","Product description 94",6,166.16,"Product-94",1
95,"Product 95","Product description 95",21,316.48,"Product-95",1
96,"Product 96","Product description 96",39,272.58,"Product-96",7
97,"Product 97","Product description 97",47,308.5,"Product-97",7
98,"Product 98","Product description 98",29,209.8,"Product-98",2
99,"Product 99","Product description 99",37,330.82,"Product-99",8
100,"Product 100","Product description 100",32,219.14,"Product-100",1
101,"Product 101","Product description 101",3,350.76,"Product-101",5
102,"Product 102","Product description 102",37,258.2,"Product-102",15
103,"Product 103","Product description 103",4,218.74,"Product-103",20
104,"Product 104","Product description 104",7,285.74,"Product-104",19
105,"Product 105","Product description 105",23,297.86,"Product-105",16
106,"Product 106","Product description 106",46,269.72,"Product-106",10
107,"Product 107","Product description 107",14,237.78,"Product-107",5
108,"Product 108","Product description 108",33,94.34,"Product-108",4
109,"Product 109","Product description 109",4,129.9,"Product-109",3
110,"Product 110","Product description 110",4,246.28,"Product-110",12
111,"Product 111","Product description 111",29,80.66,"Product-111",3
112,"Product 112","Product description 112",31,316.74,"Product-112",5
113,"Product 113","Product description 113",48,383.12,"Product-113",18
114,"Product 114","Product description 114",20,299.12,"Product-114",4
115,"Product 115","Product description 115",2,38.5,"Product-115",19
116,"Product 116","Product description 116",26,202.58,"Product-116",1
117,"Product 117","Product description 117",21,303.1,"Product-117",4
118,"Product 118","Product description 118",21,326.02,"Product-118",5
119,"Product 119","Product description 119",45,206.14,"Product-119",1
120,"Product 120","Product description 120",50,233.7,"Product-120",18
121,"Product 121","Product description 121",19,221.04,"Product-121",10
122,"Product 122","Product description 122",23,360.9,"Product-122",11
123,"Product 123","Product description 123",42,43.38,"Product-123",19
124,"Product 124","Product description 124",6,226.98,"Product-124",7
125,"Product 125","Product description 125",24,332.42,"Product-125",14
126,"Product 126","Product description 126",9,14.38,"Product-126",17
127,"Product 127","Product description 127",13,104.26,"Product-127",12
128,"Product 128","Product description 128",16,149.34,"Product-128",6
129,"Product 129","Product description 129",50,99.14,"Product-129",11
130,"Product 130","Product description 130",25,328.66,"Product-130",9
131,"Product 131","Product description 131",37,394.82,"Product-131",19
132,"Product 132","Product description 132",32,395.54,"Product-132",13
133,"Product 133","Product description 133",39,49.08,"Product-133",7
134,"Product 134","Product description 134",43,153.84,"Product-134",7
135,"Product 135","Product description 135",45,384.4,"Product-135",20
136,"Product 136","Product description 136",18,284.82,"Product-136",5
137,"Product 137","Product description 137",41,335.22,"Product-137",18
138,"Product 138","Product description 138",43,146.64,"Product-138",16
139,"Product 139","Product description 139",31,348.82,"Product-139",16
140,"Product 140","Product description 140",40,366.16,"Product-140",19
141,"Product 141","Product description 141",42,97.16,"Product-141",11
142,"Product 142","Product description 142",31,383.24,"Product-142",3
143,"Product 143","Product description 143",36,381.28,"Product-143",4
144,"Product 144","Product description 144",16,306.84,"Product-144",17
145,"Product 145","Product description 145",12,66.42,"Product-145",17
146,"Product 146","Product description 146",19,5.76,"Product-146",20
147,"Product 147","Product description 147",48,24.56,"Product-147",17
148,"Product 148","Product description 148",32,58.94,"Product-148",17
149,"Product 149","Product description 149",10,285.32,"Product-149",4
150,"Product 150","Product description 150",25,304.18,"Product-150",14
151,"Product 151","Product description 151",32,165.92,"Product-151",8
152,"Product 152","Product description 152",40,211.24,"Product-152",4
153,"Product 153","Product description 153",4,66.42,"Product-153",2
154,"Product 154","Product description 154",48,85.76,"Product-154",3
155,"Product 155","Product description 155",33,240.7,"Product-155",5
156,"Product 156","Product description 156",2,77.68,"Product-156",15
157,"Product 157","Product description 157",3,204.48,"Product-157",11
158,"Product 158","Product description 158",36,351.5,"Product-158",17
159,"Product 159","Product description 159",36,372.28,"Product-159",6
160,"Product 160","Product description 160",4,299.64,"Product-160",3
161,"Product 161","Product description 161",11,125.52,"Product-161",5
162,"Product 162","Product description 162",12,360.96,"Product-162",11
163,"Product 163","Product description 163",28,204.64,"Product-163",11
164,"Product 164","Product description 164",15,103.28,"Product-164",9
165,"Product 165","Product description 165",23,272.02,"Product-165",15
166,"Product 166","Product description 166",0,321.88,"Product-166",17
167,"Product 167","Product description 167",22,117.4,"Product-167",17
168,"Product 168","Product description 168",21,270.76,"Product-168",20
169,"Product 169","Product description 169",29,383.96,"Product-169",16
170,"Product 170","Product description 170",20,237.56,"Product-170",11
171,"Product 171","Product description 171",48,198.06,"Product-171",3
172,"Product 172","Product description 172",35,127.86,"Product-172",7
173,"Product 173","Product description 173",15,245.1,"Product-173",8
174,"Product 174","Product description 174",50,139.76,"Product-174",6
175,"Product 175","Product description 175",22,171.72,"Product-175",13
176,"Product 176","Product description 176",37,228.66,"Product-176",12
177,"Product 177","Product description 177",10,158.58,"Product-177",2
178,"Product 178","Product description 178",0,372.14,"Product-178",3
179,"Product 179","Product description 179",41,330.54,"Product-179",14
180,"Product 180","Product description 180",11,177.92,"Product-180",20
181,"Product 181","Product description 181",0,273.32,"Product-181",14
182,"Product 182","Product description 182",16,328.32,"Product-182",1
183,"Product 183","Product description 183",46,13.86,"Product-183",2
184,"Product 184","Product description 184",3,390.1,"Product-184",12
185,"Product 185","Product description 185",18,179.78,"Product-185",13
186,"Product 186","Product description 186",15,343.14,"Product-186",14
