"product_title","category_title"
"Product 869","Category 11"
"Product 497","Category 11"
"Product 1029","Category 18"
"Product 3697","Category 11"
"Product 2708","Category 18"
"Product 2943","Category 11"
"Product 2553","Category 18"
"Product 2410","Category 11"
"Product 2221","Category 18"
"Product 2150","Category 11"
"Product 2760","Category 11"
"Product 3664","Category 18"
"Product 2771","Category 11"
"Product 1568","Category 11"
"Product 2374","Category 11"
"Product 3949","Category 11"
"Product 3004","Category 18"
"Product 8","Category 11"
"Product 2314","Category 11"
"Product 1636","Category 18"
"Product 2030","Category 18"
"Product 2060","Category 18"
"Product 281","Category 11"
"Product 3973","Category 18"
"Product 677","Category 18"
"Product 2794","Category 18"
"Product 1227","Category 11"
"Product 3152","Category 18"
"Product 910","Category 11"
"Product 291","Category 11"
"Product 3679","Category 18"
"Product 652","Category 11"
"Product 3915","Category 18"
"Product 2899","Category 11"
"Product 1219","Category 11"
"Product 3046","Category 18"
"Product 1056","Category 18"
"Product 3973","Category 18"
"Product 3928","Category 11"
"Product 1439","Category 18"
"Product 30","Category 18"
"Product 699","Category 18"
"Product 3559","Category 11"
"Product 1700","Category 11"
"Product 1032","Category 18"
"Product 484","Category 18"
"Product 3403","Category 18"
"Product 3415","Category 11"
"Product 3403","Category 18"
"Product 1055","Category 11"
"Product 1790","Category 11"
"Product 1233","Category 18"
"Product 2169","Category 11"
"Product 3823","Category 18"
"Product 1686","Category 18"
"Product 3823","Category 18"
"Product 3873","Category 11"
"Product 272","Category 18"
"Product 855","Category 18"
"Product 865","Category 11"
"Product 3606","Category 18"
"Product 553","Category 11"
"Product 404","Category 18"
"Product 1610","Category 18"
"Product 2813","Category 11"
"Product 25","Category 18"
"Product 2724","Category 18"
"Product 2155","Category 11"
"Product 3053","Category 11"
"Product 360","Category 18"
"Product 120","Category 18"
"Product 2374","Category 11"
"Product 1107","Category 18"
"Product 162","Category 11"
"Product 559","Category 18"
"Product 624","Category 11"
"Product 2342","Category 11"
"Product 254","Category 18"
"Product 230","Category 18"
"Product 348","Category 18"
"Product 2635","Category 18"
"Product 384","Category 18"
"Product 2401","Category 18"
"Product 1839","Category 18"
"Product 2274","Category 18"
"Product 2940","Category 11"
"Product 677","Category 18"
"Product 3142","Category 18"
"Product 1593","Category 11"
"Product 952","Category 11"
"Product 2510","Category 18"
"Product 2497","Category 18"
"Product 3700","Category 18"
"Product 1360","Category 18"
"Product 3821","Category 18"
"Product 3108","Category 11"
"Product 2303","Category 18"
"Product 3735","Category 18"
"Product 1362","Category 18"
"Product 230","Category 18"
"Product 541","Category 18"
"Product 2646","Category 11"
"Product 1842","Category 11"
"Product 2616","Category 11"
"Product 1229","Category 18"
"Product 1798","Category 11"
"Product 624","Category 11"
"Product 2599","Category 18"
"Product 3638","Category 18"
"Product 3129","Category 11"
"Product 3816","Category 18"
"Product 2555","Category 18"
"Product 2314","Category 11"
"Product 2951","Category 11"
"Product 1686","Category 18"
"Product 254","Category 18"
"Product 2684","Category 11"
"Product 553","Category 11"
"Product 625","Category 18"
"Product 1590","Category 11"
"Product 283","Category 11"
"Product 508","Category 11"
"Product 2656","Category 18"
"Product 2710","Category 18"
"Product 3969","Category 18"
"Product 249","Category 18"
"Product 3142","Category 18"
"Product 2641","Category 18"
"Product 3415","Category 11"
"Product 673","Category 11"
"Product 3547","Category 18"
"Product 541","Category 18"
"Product 2283","Category 18"
"Product 747","Category 11"
"Product 2721","Category 11"
"Product 202","Category 18"
"Product 595","Category 18"
"Product 3928","Category 11"
"Product 982","Category 11"
"Product 2710","Category 18"
"Product 3397","Category 11"
"Product 1700","Category 11"
"Product 3199","Category 18"
"Product 3081","Category 11"
"Product 1116","Category 18"
"Product 3304","Category 18"
"Product 20","Category 11"
