"order_id","created_at","status_name"
2,"2018-12-28 00:00:00","In progress"
4,"2019-05-16 00:00:00","In progress"
6,"2019-12-17 00:00:00","Paid"
10,"2020-07-17 00:00:00","Paid"
12,"2020-08-28 00:00:00","In progress"
18,"2020-01-28 00:00:00","Paid"
22,"2018-11-06 00:00:00","In progress"
26,"2017-11-13 00:00:00","In progress"
32,"2017-08-26 00:00:00","In progress"
34,"2017-07-09 00:00:00","In progress"
35,"2020-04-23 00:00:00","Paid"
36,"2019-06-21 00:00:00","Paid"
40,"2020-11-21 00:00:00","Paid"
41,"2018-08-01 00:00:00","In progress"
42,"2017-07-08 00:00:00","In progress"
49,"2018-09-05 00:00:00","In progress"
57,"2018-11-28 00:00:00","Paid"
58,"2018-02-06 00:00:00","In progress"
59,"2020-02-26 00:00:00","In progress"
60,"2020-02-29 00:00:00","Paid"
67,"2020-01-02 00:00:00","In progress"
71,"2019-07-18 00:00:00","In progress"
76,"2020-07-09 00:00:00","In progress"
77,"2017-01-02 00:00:00","Paid"
79,"2017-05-12 00:00:00","In progress"
81,"2019-12-12 00:00:00","Paid"
84,"2017-01-07 00:00:00","In progress"
86,"2020-07-11 00:00:00","In progress"
90,"2017-03-08 00:00:00","Paid"
92,"2018-03-27 00:00:00","In progress"
94,"2017-08-03 00:00:00","Paid"
95,"2020-06-26 00:00:00","In progress"
99,"2017-08-27 00:00:00","Paid"
102,"2020-01-30 00:00:00","Paid"
104,"2018-08-10 00:00:00","In progress"
105,"2017-03-16 00:00:00","Paid"
109,"2020-09-03 00:00:00","Paid"
112,"2018-12-31 00:00:00","In progress"
113,"2018-06-05 00:00:00","In progress"
114,"2020-03-03 00:00:00","In progress"
118,"2020-01-24 00:00:00","Paid"
119,"2019-04-10 00:00:00","In progress"
124,"2018-05-09 00:00:00","Paid"
125,"2017-11-28 00:00:00","Paid"
126,"2019-01-20 00:00:00","In progress"
127,"2020-07-04 00:00:00","Paid"
129,"2018-12-07 00:00:00","In progress"
130,"2018-12-14 00:00:00","In progress"
132,"2017-01-22 00:00:00","Paid"
133,"2017-06-21 00:00:00","In progress"
136,"2018-07-28 00:00:00","In progress"
