"count","price"
5,434
9,696
6,563
3,348
10,974
10,962
7,657
1,131
6,638
7,531
10,1113
7,753
4,356
1,75
8,748
1,141
9,799
9,894
9,949
6,640
4,482
6,482
9,611
10,1117
2,135
5,461
9,1184
10,917
6,613
3,254
5,390
2,126
9,1147
3,162
10,1326
10,1425
10,1066
2,249
3,239
10,1182
8,681
5,499
9,1012
2,148
6,759
2,46
8,886
7,663
4,428
3,284
4,449
9,820
5,412
2,219
5,430
5,602
4,286
8,838
3,259
5,497
5,588
7,884
2,229
7,661
8,687
1,101
8,1122
7,851
3,249
4,423
7,724
8,768
4,413
5,495
10,1299
10,831
5,261
7,663
8,909
2,87
1,93
9,903
1,19
8,526
8,817
4,367
1,20
10,962
7,435
2,282
8,658
8,924
6,721
1,151
1,153
6,687
3,329
1,43
4,299
8,1003
8,923
10,1039
8,838
2,211
1,74
1,19
5,553
2,273
5,549
7,825
5,397
4,449
3,367
4,388
1,157
5,388
1,88
8,984
7,647
5,517
1,32
5,569
10,859
5,374
5,622
6,801
1,24
10,909
8,649
3,332
6,674
7,794
10,1315
8,736
2,186
8,785
6,820
5,487
2,326
5,675
3,413
8,858
3,316
1,20
6,606
10,1129
5,536
5,317
7,642
4,500
5,777
4,656
5,810
9,1022
2,27
7,773
8,546
7,722
7,575
9,794
3,148
6,598
4,292
10,770
6,625
4,565
8,733
8,848
6,712
2,239
3,292
9,883
1,53
7,701
10,1091
3,564
6,608
6,734
8,1006
6,797
7,586
9,988
10,625
9,979
1,133
5,730
3,364
5,355
3,374
9,1193
5,320
6,553
2,158
2,205
6,854
8,557
1,120
5,435
4,361
4,337
4,555
2,145
6,399
8,784
8,868
2,342
10,897
5,661
8,837
6,703
2,318
3,494
2,51
10,1144
8,1142
1,22
8,867
2,301
9,631
9,1173
5,694
3,256
5,581
10,1238
4,353
7,752
6,624
10,1193
2,112
9,558
2,257
9,832
4,434
5,379
9,609
5,501
7,671
3,185
2,279
6,1066
5,452
1,25
4,517
7,912
5,471
7,670
4,467
9,1113
6,729
7,905
7,617
6,441
9,870
10,1247
5,435
8,568
1,71
10,880
5,457
1,58
2,87
2,123
9,1049
2,120
4,414
1,176
9,938
6,629
1,195
9,735
10,1033
3,367
4,421
